"Title","Categories: Sub","ASIN"
"Gildan Adult Fleece Crewneck Sweatshirt, Style G18000, Multipack, Cardinal Red (1-Pack), 2X-Large","Active Sweatshirts, Sweatshirts, See It On You, Women's See It On You, Gildan Top 30 PASINs, Business Pricing & Quantity Discounts, Gildan 2024, MFN ONLY V2, Men's See It On You, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B01M117H3D"
"Pink Miracle Shoe Cleaner Kit Bottle Fabric Cleaner for Leather, Whites, and Nubuck Sneakers (8 Oz)","Shoe Care Kits, Top Rated, Most Photographed, Outfit Builder, Internet_Famous_2021, Business Pricing & Quantity Discounts, Green Lit 309, 4+ Stars: Clothes, Shoes and Jewelry","B00A7NDT3A"
"wirarpa Women's Cotton Underwear High Waist Full Coverage Brief Panty Black Purple 4 Pack X-Small","Briefs, Top sellers Women's Test, Top sellers Women's, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Business Pricing & Quantity Discounts, Most Gifted Styles, Everyday Apparel Essentials","B07QQW2GRV"
"Gloria Vanderbilt Women's Classic Tapered Amanda Jean, Glacial Fading Florals Print, 14","Jeans, 80dbd58c-5608-4346-a9d0-64e6b7f46827_578602, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1","B073H7GN9T"
"Wrangler Authentics Men's Relaxed Fit Stretch Cargo Pant, Black, 36W x 32L","Casual, Wrangler Authentics Men's Relaxed Fit Stretch Cargo Casual Pants, Next-Gen Most Loved from $9.99, Test Color, Prime Wardrobe: Wrangler Try Before You Buy, Business Pricing & Quantity Discounts, Mens Plus Size Fashion, Most Wished For Styles, Most Gifted Styles, Next-Gen x Most Loved","B0888D24PM"
"Colorfulkoala Women's High Waisted Tummy Control Workout Leggings 7/8 Length Yoga Pants with Pockets (S, Navy)","Leggings, yoga apparel aisle test, Customers' Most-Loved: Women's beanies, W Shirt Child Store: CML<$20, Customers' Most-Loved: Women's scarves and wraps, Customers' Most Loved: Women's Clothing, Customer's Most Loved: Boys' Fashion, Customers' Most-Loved: Men's shoes, Customers' Most Loved: Women's Accessories, Customers' Most-Loved: Under $50, Customers' Most-Loved: Men's Sneakers, Top sellers Women's Test, Child Store: CML <$20, Customers' Most-Loved: Dresses, Customers' Most-Loved: Women's gloves, Customers' Most Loved: Women's Handbags, Customers' Most-Loved: Women's sweaters, Top sellers Women's, Customers' Most-Loved: Under $40, Customers' Most-Loved: Women's Sweaters under $40, Child Store: CML <$30, Customers' Most-Loved: Mens Fashion, Customers' Most-Loved, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, Mens Most Loved under $20, Customers' Most-Loved: Under $75, Customers' Most-Loved: Womens Sandals, Customers' Most-Loved: Men's jackets and coats, Womens Most Loved under $20, BFCM: Black Friday Brand Deals, Customers' Most-Loved: Under $25, Customers' Most-Loved Clothing, Shoes & Jewelry - Color Black filtered and Multipack, Customers' Most-Loved: Men's boots, Customers' Most Loved: Girls' Fashion, Customers Most-Loved: Men's styles under $50, Most Loved under $30, Customers' Most-Loved: Men's beanies, Customers' Most-Loved Clothing, Shoes & Jewelry, Customers' Most-Loved: Men's scarves, TEST Customers Most love, TEST CML starting at $9.99, Child Store: CML <$50, M Shirts & Tees Child Store: CML<$20, Customers' Most-Loved: Women's swim, Customers' Most-Loved: Dresses, Most Loved under $25, Child Store: CML <$100, W Dresses Child Store: CML<$25, Customers' Most-Loved: Men's gloves, Customers' Most-Loved: Men, Customers Most-Loved: Women's styles under $50, Customers' Most-Loved: Womens Fashion, Customers' Most-Loved: Women's Dresses under $40, Customers' Most-Loved: Women's swim, Customers' Most-Loved: Women's shoes, Customers' Most-Loved: Women's boots, Customers' Most-Loved: Under $30, Customers' Most-Loved: Women, BFCM: Leggings, Customers' Most-Loved: Under $20, Customers' Most-Loved: Men's sweaters, Customer Most Loved under $50, Customers' Most-Loved: Women's jackets and coats, Child Store: CML <$40, Customers' Most-Loved Clothing, Shoes & Jewelry - Color_Black_filtered, Most Loved under $40, Customers' Most-Loved: Men's swim, Child Store: CML <$75, Child Store: CML <$25, Everyday Apparel Essentials, Most Loved under $20, CML_Sweaters_Under_$30, Most Loved under $75, 119182352011","B07G4Z1M6B"
"Thermajane Long Johns Thermal Underwear for Women Fleece Lined Base Layer Pajama Set Cold Weather (X-Large, Yellow)","Sets, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Test Color, Business Pricing & Quantity Discounts","B07KFS7CK2"
"HSIA Minimizer Bras for Women Full Coverage Underwire Bras Plus Size Lifting Lace Bra for Heavy Breast 32D Black","Minimizers, Everyday Bras, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Test Color, Plus-Size Fashion, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B07V5VGH3T"
"Hanes Mens Hoodie, Ecosmart Fleece Full-zip Zip-up For Hooded Sweatshirt, Charcoal Heather, 3X-Large US","Active Hoodies, See It On You, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Winter Staples: Hoodies, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Must See Deals, Business Pricing & Quantity Discounts, Mens Plus Size Fashion, Most-loved fashion deals, Men's See It On You, Valentine's Day Clothing, Gifts & Jewelry, Everyday Apparel Essentials, Internet Famous","B07YP6BYY8"
"Fruit of the Loom Girls' Big Tag Free Cotton Brief Underwear Multipacks, Brief-14 Pack-Pink/Stars/Stripes, 10","Panties, Bulk Buying & Case Packs, Test Color, FOTL Top 10 PASIN, Everyday Apparel Essentials","B07QGZRQWR"
