"Title","Categories: Sub","ASIN"
"CeraVe PM Facial Moisturizing Lotion, Night Cream with Hyaluronic Acid and Niacinamide, Ultra-Lightweight, Oil-Free Moisturizer for Face, 3 Ounce","Face Moisturizers, Face Care, Shop Skin Care, Summer Beauty, Everyday Essentials, Subscribe & Save Prime Promo, Customers' Most-Loved Beauty v2, Shop CeraVe Same Day: Available in select metros, Climate Pledge Friendly | Beauty & Personal Care, moisturize","B00365DABC"
"BOLDIFY Hairline Powder - Root Touch Up Hair Color for Gray Coverage - Bald Spot Concealing Hair Powder for Women & Men - 48-Hour Stain-Proof - Dark Brown","Hair Mascaras & Root Touch Ups","B08N1CWL7S"
"CeraVe Hydrating Facial Cleanser, Moisturizing Face Wash For Dry Skin, Hyaluronic Acid + Ceramides + Glycerin, Hydrating Cleanser For Normal To Dry Skin, National Eczema Association Certified","Washes, Face Care, Shop Skin Care, Summer Beauty, Save up to 30% on Beauty essentials, Beauty Back to School, Climate Pledge Friendly | Beauty & Personal Care, cleanse, Facial Cleansers","B01MSSDEPK"
"Vanicream Daily Facial Moisturizer With Ceramides and Hyaluronic Acid - Formulated Without Common Irritants for Those with Sensitive Skin, 3 fl oz (Pack of 1)","Face Moisturizers, Face Care, Shop Skin Care, Facial Skin Care Sample Credit, Customers' Most-Loved Beauty v2, Customers' Most-Loved: Beauty, Customers' Most-Loved Beauty_Temp, Most-loved beauty deals, Customers' Most-Loved Beauty","B08BW46XXK"
"Degree Men UltraClear Antiperspirant Deodorant Black + White 72-Hour Sweat & Odor Protection Antiperspirant For Men With MotionSense Technology 2.7 Ounce (Pack of 4)","Antiperspirants, BACK TO SCHOOL, Spend $20, Save $5 on Dove, Degree and more, Customers' Most-Loved Beauty_Temp, Shop Personal Care, Men's Grooming, Personal care favorites","B072J2ZBPY"
"L’Oréal Paris Makeup Telescopic Original Lengthening, Lash Separating Mascara with Dual Precision Brush, Washable, Carbon Black, 0.27 Fl Oz., 2 Count","Mascara, Save 20% on L'Oreal Paris Makeup","B07SFY6NK9"
"La Roche-Posay Cicaplast Balm B5, Healing Ointment and Soothing Therapeutic Multi Purpose Cream for Dry & Irritated Skin, Body and Hand Balm, Baby Safe, Fragrance Free","Creams, All First Aid, Trending Favorites, La Roche-Posay, Shop Skin Care, La Roche-Posay Gift with Purchase, Prime Day: 30% off Luxury Beauty, 15% off luxury beauty, Professional Skin Care: Subscribe & Save, Spend $30, Get $5 off Luxury Beauty, Moisturizers, La Roche Posay Gift with Purchase Qualifying Items, Must-See Favorites, Customers' Most-Loved Premium Beauty_Temp, Beauty New Arrivals, 2016 Beauty Holiday Gift Guide, Must-have winter beauty under $20, Body Lotions and Skin Care Sample Credit, 15% off Luxury Beauty New Customers, Cleansers, Creams, Professional Beauty: Subscribe & Save, Luxury Beauty Valentine's Day, Premium Beauty Best Sellers, Treat Yourself Luxury Beauty, Luxury & Professional Beauty, Top Rated Luxury Beauty, Shop Luxury Beauty Favorites, La Roche-Posay Sampling, Lux-Pro-Beauty, Most giftable under $50, Luxury Beauty Prime Offer, Amazon.com: 15% off Professional Skin Care, 0 - 6 Months","B0060OUV5Y"
"Garnier Micellar Cleansing Water, For All Skin Types, 13.5 fl oz + Micellar Cleansing Water, For Waterproof Makeup, 3.4 fl oz","Washes, Face Care, Facial Skin Care Sample Credit, Save on Select Garnier Micellar Items, Most-loved beauty deals, Customers' Most-Loved Beauty","B07RB6TNGN"
"Amazon Basics Make Up Remover Wipes, Original, 25 Count, Pack of 6 (Previously Solimo)","Makeup Cleansing Wipes, Face Care, Event Deals, Make Up Removers","B0864Z62S3"
"Nautica Voyage Eau de Toilette 6.7 fl oz (Pack of 1), Notes of Apple, Cedarwood, Mimosa, Men's Fragrance, Long Lasting, Everyday Fragrance","Eau de Toilette, Valentine's Day Beauty, New Year Beauty","B08F3W312Q"
